,Text,Label,ID,Offsets
11480,drchrono was the first EHR to build a native app for iPad and iPhone.,None,article_00549.pre.xmi:006,[]
12482,"We deliver innovative software that helps restaurants understand their target audience, engage them, and measure the impact, all while increasing efficiency and the bottom line.",None,article_00602.pre.xmi:025,[]
7066,"After close to two decades, Interstate continues to grow and cater to the needs of our clients because of:",None,article_00331.pre.xmi:006,[]
1018,The Ascend Video Platform,None,article_00053.pre.xmi:013,[]
2955,"Since then, he has combined his capabilities to oversee all application development for Apptricity's supply chain management and spend management solution suites, emphasizing a holistic vision for development.",None,article_00143.pre.xmi:034,[]
6062,"From your initial consultation to the completion of your treatment, you will benefit from high-quality dental and orthodontic care.",About,article_00282.pre.xmi:009,"[{u'text': u'high-quality dental and orthodontic care', u'endOffset': 130, u'beginOffset': 90, u'label': u'ValueProposition'}]"
15015,"With proprietary research information, we provide customers with guidance that will provide the most productive outcomes.",None,article_00728.pre.xmi:020,[]
3371,"The New York Metro area's #1 supplier of paper, packaging, foodservice products and janitorial supplies.",None,article_00167.pre.xmi:001,[]
2400,Our technical approach marries traditional drug development techniques with the tools for human-first discovery that this field uniquely enables.,None,article_00118.pre.xmi:012,[]
8361,And the need to find yet another amazing Space at very short notice for one of my largest clients who needed to deliver an important stakeholder workshop.,None,article_00391.pre.xmi:010,[]
3029,ANALYZE,None,article_00147.pre.xmi:017,[]
4269,"The industrial Engines, Pumps and Compressors we service are found in a variety of industries from Oil and Gas to Manufacturing to Textile Production.",None,article_00210.pre.xmi:023,[]
7844,"We frequently participate in fundraisers, community events, youth athletics, and more.",None,article_00372.pre.xmi:006,[]
2075,"Our unique five step process, The Key to Success, culminates in the creation of a credible strategy called Your Succession Plan, to help you live the life you truly desire without the fear of running out of money.",None,article_00101.pre.xmi:015,[]
949,Cancer Research UK,None,article_00049.pre.xmi:040,[]
10857,But how much do we really know about light?,None,article_00520.pre.xmi:016,[]
2991,"VTI's mission is to redefine vision through advanced engineering and a relentless drive to achieve better solutions through the fusion of Science, Art and Technology.",About,article_00145.pre.xmi:009,"[{u'text': u'VTI', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'redefine vision', u'endOffset': 35, u'beginOffset': 20, u'label': u'Purpose'}, {u'text': u'achieve better solutions', u'endOffset': 115, u'beginOffset': 91, u'label': u'Purpose'}]"
5042,We launched iwoca in 2012 and have already grown into one of Europe's leading fintech lenders.,About,article_00242.pre.xmi:005,"[{u'text': 'iwoca', u'endOffset': 17, u'beginOffset': 12, u'label': u'Company'}, {u'text': 'Europe', u'endOffset': 67, u'beginOffset': 61, u'label': u'MarketLocation'}, {u'text': 'fintech lenders', u'endOffset': 93, u'beginOffset': 78, u'label': u'ProductService'}]"
2067,Our aim is to bring you financial peace of mind,None,article_00101.pre.xmi:007,[]
9682,Our distribution network:,None,article_00463.pre.xmi:022,[]
9910,Mazen Nahawi,None,article_00478.pre.xmi:022,[]
6510,"Our platform attracts a wide range of businesses, from seed and start-up stage companies to more established growth companies, and those that may already be reporting companies and/or quoted on OTC Markets.",About,article_00307.pre.xmi:006,"[{u'text': 'Our', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'seed and start-up stage companies', u'endOffset': 88, u'beginOffset': 55, u'label': u'MarketProfile'}]"
4960,Venkat,None,article_00239.pre.xmi:043,[]
321,Where is my irrigation failing?,None,article_00020.pre.xmi:009,[]
8873,in Chemistry from the University of Virginia and his Ph.D. in Chemistry from Virginia Polytechnic Institute and University.,None,article_00423.pre.xmi:006,[]
11772,Quintron's long standing customer base of mission critical organizations of all types is testimony to Quintron's commitment and ability to consistently perform at the highest level…WHEN FAILURE IS NOT AN OPTION.,None,article_00564.pre.xmi:009,[]
4871,stay tuned,None,article_00234.pre.xmi:013,[]
13202,"We pride ourselves on offering well-crafted, highly-custom pieces at an uncommon value.",None,article_00639.pre.xmi:020,[]
13927,Ricardo Oliveira,None,article_00676.pre.xmi:024,[]
11592,Personal,None,article_00552.pre.xmi:009,[]
5332,"Talview was founded in 2012 and has offices in the US, Singapore and India.",None,article_00250.pre.xmi:007,[]
12487,World Class Customer Service,None,article_00602.pre.xmi:030,[]
12973,Both are performing well and looking to grow.,None,article_00628.pre.xmi:019,[]
7125,"Stephanie Calabrese, Chief Brand Officer & Co-Founder",None,article_00334.pre.xmi:022,[]
12142,Our current AVISE® product line encompasses six game-changing products:,None,article_00584.pre.xmi:006,[]
15362,"A Value-Added and Seamless Supply Chain, accredited under RSPO Supply Chain Certification System (SCCS)",None,article_00743.pre.xmi:012,[]
9749,"Strong relationships with a variety of providers, our dedicated customer service system and efficiency achieved through technology are all tools we use to ensure the best options are made available to our clients every day.",None,article_00468.pre.xmi:006,[]
6389,All property conditions and types are considered.,None,article_00300.pre.xmi:010,[]
12602,Contact,None,article_00608.pre.xmi:002,[]
9414,Phased Investments,None,article_00446.pre.xmi:010,[]
6162,"Our goal is to work with your security and development teams to create an advanced program – one that reduces risk across your entire application landscape, and accelerates your business.",About,article_00286.pre.xmi:007,"[{u'text': u'Our', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'reduces risk across your entire application landscape, and accelerates your business', u'endOffset': 186, u'beginOffset': 102, u'label': u'ValueProposition'}]"
3519,"Although we can offer 'off the shelf' solutions, our forward thinking multi-disciplinary team have the ability to provide customised options to suit the needs of complex and problematic situations.",None,article_00176.pre.xmi:005,[]
6444,"For more information, contact your nearest location!",None,article_00303.pre.xmi:021,[]
16403,Katia De Juan - Designer,None,article_00791.pre.xmi:028,[]
3691,"The property consists of 15 concessions with a total nominal area of 4,647 hectares.",None,article_00184.pre.xmi:028,[]
10438,"And most people borrow to pay for both, their homes and their education.",None,article_00502.pre.xmi:023,[]
12129,Daylight Solutions consists of two separate business units.,None,article_00583.pre.xmi:012,[]
10942,OUR VALUES,None,article_00523.pre.xmi:011,[]
4333,Subject:,None,article_00210.pre.xmi:087,[]
2619,"For the purpose of the blended rank only, a truck was weighted at half the value of a tractor.",None,article_00127.pre.xmi:031,[]
14691,About My Policy,None,article_00714.pre.xmi:001,[]
1839,It just needs to be you.,None,article_00090.pre.xmi:023,[]
